Periodo = 3.4
# flujo 	tiempo
2457186.76237	0.999631650001
2457186.76425	0.999907896597
2457186.76613	1.00064492746
2457186.76801	0.999815805917
2457186.76989	1.00018421953
2457186.77179	0.999539584764
2457186.77367	1.0011058476
2457186.77556	1.0000921034
2457186.77743	1.0005527689
2457186.77932	0.999815805917
2457186.78121	0.998803368046
2457186.7831	1.00073709451
2457186.78499	1.0005527689
2457186.78688	0.999539584764
2457186.78878	0.999815805917
2457186.79066	0.999171408597
2457186.79254	0.999447528005
2457186.79443	1.00101364659
2457186.79634	0.996322637728
2457186.79826	0.997975772394
2457186.80015	0.998159623258
2457186.80203	1.00156698005
2457186.80391	0.999447528005
2457186.8058	0.996597969884
2457186.80768	0.992841674012
2457186.80957	0.989737437715
2457186.81144	0.985825387529
2457186.81335	0.980844131871
2457186.81523	0.980031417012
2457186.81711	0.979850905179
2457186.81899	0.97958019977
2457186.82092	0.98057315206
2457186.82281	0.978858684254
2457186.82469	0.975348899212
2457186.82656	0.97741724714
2457186.82844	0.97696723349
2457186.83033	0.977237216811
2457186.8322	0.977147214082
2457186.83408	0.978588252967
2457186.83597	0.977687354821
2457186.83786	0.978137700174
2457186.83974	0.977687354821
2457186.84162	0.977237216811
2457186.8435	0.976517427032
2457186.84538	0.97678728605
2457186.84726	0.975438736303
2457186.84913	0.978948844622
2457186.85102	0.975348899212
2457186.85291	0.97741724714
2457186.85479	0.974989633582
2457186.85666	0.977777407301
2457186.85861	0.977867468075
2457186.86053	0.976427490595
2457186.86243	0.978498125809
2457186.86432	0.979489981254
2457186.86621	0.980121685398
2457186.8681	0.980211962099
2457186.86999	0.983558052055
2457186.87188	0.986642907178
2457186.87376	0.989919770882
2457186.87564	0.992201771632
2457186.87753	0.991927654023
2457186.87942	0.997424422959
2457186.88131	0.996873378127
2457186.8832	0.997240707512
2457186.88509	0.998343507991
2457186.88698	0.996689764176
2457186.88886	0.999631650001
2457186.89076	1.00073709451
2457186.89264	0.999723723719
2457186.89453	1.0011980571
2457186.89641	1.00046061883
2457186.8983	0.999907896597
